City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
474,monforte de lemos,42.5216,-7.5142,3.65,96,48,1.16,ES,1675825856
475,kaohsiung,22.6163,120.3133,25.97,69,20,2.06,TW,1675825856
476,camacha,33.0833,-16.3333,12.68,72,40,6.17,PT,1675825744
477,salekhard,66.53,66.6019,-13.83,95,100,7.23,RU,1675825857
478,margate,51.3813,1.3862,4.13,68,63,1.28,GB,1675825742
479,gibraleon,37.3763,-6.969,7.23,72,100,4.84,ES,1675825857
480,saint-leu,-21.15,55.2833,25.48,73,86,2.03,RE,1675825858
481,broken hill,-31.95,141.4333,30.76,15,0,5.27,AU,1675825858
482,vaitape,-16.5167,-151.75,27.26,72,24,5.43,PF,1675825858
483,chilca,-12.5211,-76.7372,23.14,84,13,2.94,PE,1675825859
484,qaqortoq,60.7167,-46.0333,-24.8,65,4,3.21,GL,1675825832
485,seymchan,62.8833,152.4333,-30.0,89,100,0.66,RU,1675825859
486,waingapu,-9.6567,120.2641,28.74,75,61,5.52,ID,1675825860
487,talakan,50.3167,130.3667,-20.1,75,12,2.4,RU,1675825860
488,diego de almagro,-26.3667,-70.05,20.53,50,7,0.4,CL,1675825861
489,luderitz,-26.6481,15.1594,18.43,82,19,8.5,NA,1675825678
490,katherine,-14.4667,132.2667,34.18,49,61,2.06,AU,1675825862
491,soyo,-6.1349,12.3689,26.05,83,84,2.88,AO,1675825864
492,portland,45.5234,-122.6762,8.27,88,20,1.79,US,1675825539
493,tinskoy,56.1525,96.9161,-6.2,95,100,2.76,RU,1675825865
494,abu dhabi,24.4667,54.3667,21.09,88,55,2.47,AE,1675825866
495,fonte boa,-2.4959,-66.2662,23.01,98,90,0.84,BR,1675825867
496,atar,20.5169,-13.0499,14.76,29,9,4.97,MR,1675825791
497,puerto colombia,10.9878,-74.9547,26.05,79,2,15.18,CO,1675825868
498,holland,42.7875,-86.1089,2.45,85,0,4.63,US,1675825638
499,santa rosalia,27.3167,-112.2833,13.26,48,0,3.54,MX,1675825870
500,okato,-39.2,173.8833,22.73,100,6,6.58,NZ,1675825870
501,nouadhibou,20.931,-17.0347,16.2,70,0,9.72,MR,1675825872
502,noumea,-22.2763,166.4572,31.99,99,98,4.61,NC,1675825285
503,ntcheu,-14.8203,34.6359,16.52,95,94,1.48,MW,1675825873
504,anchorage,61.2181,-149.9003,-1.49,91,100,1.54,US,1675825839
505,choix,26.7092,-108.3219,15.89,17,5,1.43,MX,1675825874
506,iwanai,42.9744,140.5089,-1.39,63,100,4.75,JP,1675825875
507,sterling,39.0062,-77.4286,10.32,65,75,3.13,US,1675825875
508,puerto escondido,15.85,-97.0667,26.46,73,20,0.0,MX,1675825876
509,peleduy,59.6289,112.7406,-17.26,93,100,2.62,RU,1675825877
510,benjamin aceval,-24.9667,-57.5667,26.08,57,99,2.35,PY,1675825878
511,rapid valley,44.0625,-103.1463,2.55,68,0,2.06,US,1675825880
512,voh,-20.9667,164.7,27.48,83,100,1.9,NC,1675825835
513,chekhov,55.1431,37.4711,-7.03,97,61,2.37,RU,1675825880
514,kutum,14.2,24.6667,11.19,35,20,4.25,SD,1675825882
515,tres arroyos,-38.3739,-60.2798,22.23,58,0,2.01,AR,1675825632
516,sandwick,60.0,-1.25,6.9,76,100,12.35,GB,1675825887
517,itoman,26.1247,127.6694,22.01,68,20,6.69,JP,1675825888
518,finote selam,10.7,37.2667,14.66,48,10,1.5,ET,1675825889
519,gigmoto,13.7796,124.39,27.43,74,91,6.41,PH,1675825891
520,port keats,-14.25,129.55,31.99,59,31,3.96,AU,1675825892
521,alofi,-19.0595,-169.9187,27.94,83,100,3.6,NU,1675825892
522,lokosovo,61.1333,74.8167,-29.21,100,73,2.09,RU,1675825893
523,padang,-0.9492,100.3543,28.03,56,86,1.13,ID,1675825826
524,scottsbluff,41.8666,-103.6672,2.94,64,0,4.02,US,1675825870
525,adilcevaz,38.8039,42.7342,-4.64,90,100,1.57,TR,1675825894
526,altar,30.7,-111.8167,13.84,23,0,4.08,MX,1675825895
527,hato mayor,18.7629,-69.256,21.19,88,1,3.42,DO,1675825895
